;metric;avg;std;median;mode;percentile70;percentile90;chebyshev
19;abstractMethodsQty;2.427768409218662;3.603013068590271;1.0;1.0;2.0;5.0;(-3.269095458830206, 8.12463227726753)
43;anonymousClassesQty;2.3232222774738935;3.748822613453257;1.0;1.0;2.0;5.0;(-3.604186723754744, 8.250631278702532)
39;assignmentsQty;19.288867200876652;91.6310958042781;6.0;1.0;14.0;40.0;(-125.59261641843194, 164.17035082018526)
0;cbo;7.294427137417792;7.948354570007107;5.0;2.0;8.0;16.0;(-5.27302490849757, 19.86187918333315)
1;cboModified;9.9535868976719;12.580824847860503;7.0;2.0;11.0;20.0;(-9.93844378376836, 29.84561757911216)
34;comparisonsQty;6.138124362895005;14.579224567083006;3.0;1.0;5.0;13.0;(-16.913653712637295, 29.189902438427307)
27;defaultFieldsQty;2.4799710773680403;4.031514127542528;1.0;1.0;2.0;5.0;(-3.894412453722435, 8.854354608458516)
17;defaultMethodsQty;4.003445809765295;10.126523444514758;2.0;1.0;3.0;8.0;(-12.007993622114888, 20.01488524164548)
5;dit;1.654189061823369;2.480640688508877;1.0;1.0;2.0;3.0;(-2.268048254264796, 5.576426377911534)
2;fanin;4.913964762918292;11.107713658103647;2.0;1.0;4.0;10.0;(-12.648872615365883, 22.47680214120247)
3;fanout;7.304323748079026;7.962686820357187;5.0;2.0;8.0;16.0;(-5.285789575387334, 19.894437071545386)
28;finalFieldsQty;2.816082958325181;7.073776061895436;1.0;1.0;2.0;5.0;(-8.368539048457716, 14.000704965108078)
20;finalMethodsQty;3.7263657957244654;8.387320309067155;3.0;1.0;4.0;5.0;(-9.535152025295341, 16.98788361674427)
44;innerClassesQty;1.8842513952924047;4.519042155269777;1.0;1.0;2.0;3.0;(-5.260981631191986, 9.029484421776795)
45;lambdasQty;3.8506305680897834;11.103998938062865;2.0;1.0;3.0;7.0;(-13.70633332209502, 21.407594458274588)
11;lcc;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;(-1.0, -1.0)
8;lcom;117.90966578563841;1280.3816253880277;7.0;1.0;22.0;136.0;(-1906.551439441681, 2142.370771012958)
9;lcom*;0.6413015158736635;0.24020002857746262;0.6666667;1.0;0.8;1.0;(0.26151192370250526, 1.0210911080448217)
31;loc;68.7569095957409;376.9540178426565;23.0;5.0;48.0;141.0;(-527.2597251715318, 664.7735443630137)
48;logStatementsQty;4.296054350666318;10.390639390188182;2.0;1.0;4.0;9.0;(-12.132989058562526, 20.72509775989516)
33;loopQty;4.858503016591252;14.062677826868725;2.0;1.0;4.0;10.0;(-17.37654295043484, 27.093548983617346)
40;mathOperationsQty;9.050537066384926;44.80964272474836;3.0;1.0;6.0;19.0;(-61.799729007914216, 79.90080314068408)
42;maxNestedBlocksQty;2.0136361319263902;1.3114580143690038;2.0;1.0;2.0;4.0;(-0.059961058617550744, 4.087233322470331)
47;modifiers;48.30900253083196;209.39861203635277;1.0;1.0;1.0;17.0;(-282.77927392558, 379.3972789872439)
6;noc;4.702741189035244;11.156756491816054;2.0;1.0;4.0;9.0;(-12.937639717968981, 22.34312209603947)
30;nosi;7.582121360481525;29.89299050467734;3.0;1.0;6.0;16.0;(-39.6828466738018, 54.84708939476484)
38;numbersQty;25.796197399001137;221.2335677143586;5.0;1.0;11.0;39.0;(-324.0047870322312, 375.59718183023347)
36;parenthesizedExpsQty;6.023838334946757;51.13392060788601;2.0;1.0;4.0;12.0;(-74.82598907262397, 86.87366574251749)
25;privateFieldsQty;3.5105618623365427;5.47459308185009;2.0;1.0;3.0;8.0;(-5.145529838286908, 12.166653562959993)
15;privateMethodsQty;3.009821777026148;4.102707266608194;2.0;1.0;3.0;6.0;(-3.4771279906766352, 9.496771544728931)
26;protectedFieldsQty;4.321224086870681;5.463803923974659;2.0;1.0;4.0;9.0;(-4.317808457292016, 12.960256631033378)
16;protectedMethodsQty;2.3102780199554394;2.629501510251057;1.0;1.0;2.0;4.0;(-1.8473289216675264, 6.467884961578405)
24;publicFieldsQty;3.8296887059428864;11.769050528692942;2.0;1.0;3.0;7.0;(-14.778814078196387, 22.438191490082158)
14;publicMethodsQty;5.915339572909926;10.829556771854692;3.0;1.0;5.0;13.0;(-11.207693151670718, 23.038372297490568)
32;returnQty;6.72024340141855;13.3096414659913;3.0;1.0;6.0;14.0;(-14.324147534958954, 27.764634337796053)
7;rfc;16.068102186178876;24.20455476576539;8.0;1.0;16.0;39.0;(-22.202659218872114, 54.33886359122987)
23;staticFieldsQty;2.524267247502249;8.224451361675795;1.0;1.0;2.0;5.0;(-10.479732156582138, 15.528266651586637)
13;staticMethodsQty;3.5784116612214123;7.281620751557496;2.0;1.0;3.0;8.0;(-7.934841655012965, 15.09166497745579)
37;stringLiteralsQty;16.271666551142534;73.14665808699053;5.0;1.0;10.0;33.0;(-99.38335484108991, 131.926687943375)
29;synchronizedFieldsQty;;;;;;;(nan, nan)
21;synchronizedMethodsQty;3.0708215297450425;11.519115098715913;2.0;1.0;2.0;5.0;(-15.142498641043762, 21.284141700533848)
10;tcc;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;(-1.0, -1.0)
22;totalFieldsQty;4.247475421504515;7.91469268014291;2.0;1.0;4.0;9.0;(-8.266752503252544, 16.761703346261577)
12;totalMethodsQty;6.8236062835125155;12.048715239803611;3.0;1.0;6.0;15.0;(-12.227085234768115, 25.874297801793144)
35;tryCatchQty;2.643355376392789;6.940320298964948;1.0;1.0;2.0;5.0;(-8.330254541522203, 13.61696529430778)
46;uniqueWordsQty;49.623872078973754;59.33583626190291;30.0;7.0;52.0;112.0;(-44.194322650238455, 143.44206680818596)
41;variablesQty;13.618142489738219;41.05437148071388;5.0;1.0;11.0;31.0;(-51.294518403119454, 78.53080338259589)
18;visibleMethodsQty;6.2279365164978895;11.352153943290787;3.0;1.0;6.0;13.0;(-11.721394888332528, 24.17726792132831)
4;wmc;13.78855253253038;52.07280445714858;5.0;1.0;11.0;30.0;(-68.54578058604831, 96.12288565110906)
